Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Limite_Dinamico;Num_Criterios;Criterio_Principal;Score_Confianca
2021-08-02 12:55:00;2021-Q3;171.91;171.91;169.49;169.49;68;-1.41;-4.71;8.33;9.8;Baixa;0.4;3;Volume Alto;100
2021-08-03 09:55:00;2021-Q3;173.71;173.71;171.91;171.91;10;-1.04;-4.83;8.05;3.4;Baixa;0.4;2;Amplitude Alta;100
2021-08-06 10:30:00;2021-Q3;172.32;173.52;171.52;173.52;17;0.7;3.69;9.37;6.4;Alta;0.4;3;Volume Alto;100
2021-10-05 12:20:00;2021-Q4;185.12;185.12;183.49;184.05;41;-0.58;-2.97;5.72;5.8;Baixa;0.41;2;Volume Alto;100
2021-10-14 11:20:00;2021-Q4;199.8;199.8;198.25;198.25;27;-0.78;-3.72;4.94;7.1;Baixa;0.4;2;Volume Alto;100
2021-10-18 12:50:00;2021-Q4;192.62;192.66;190.91;190.91;17;-0.89;-5.09;6.56;4.0;Baixa;0.4;2;Amplitude Alta;100
2021-10-21 11:20:00;2021-Q4;196.25;196.25;193.66;194.42;28;-0.93;-3.27;6.48;4.4;Baixa;0.4;2;Amplitude Alta;100
2021-10-22 12:30:00;2021-Q4;191.47;191.47;187.56;189.07;54;-1.25;-6.49;12.75;7.2;Baixa;0.4;3;Volume Alto;100
2021-11-05 09:40:00;2021-Q4;195.49;195.49;193.04;193.23;19;-1.16;-6.1;12.78;3.6;Baixa;0.4;2;Amplitude Alta;100
2021-11-05 09:45:00;2021-Q4;192.88;194.63;192.76;194.28;12;0.73;5.22;10.86;2.5;Alta;0.4;2;Amplitude Alta;100
2021-11-05 09:55:00;2021-Q4;194.48;194.48;193.08;193.08;22;-0.72;-5.57;9.37;4.3;Baixa;0.4;2;Amplitude Alta;100
2021-11-09 14:00:00;2021-Q4;192.57;193.74;192.26;193.62;29;0.55;3.45;6.61;6.6;Alta;0.4;3;Volume Alto;100
2021-11-12 10:35:00;2021-Q4;197.55;199.42;197.51;199.42;95;0.95;4.65;5.6;5.2;Alta;0.4;2;Volume Alto;100
2021-11-12 11:20:00;2021-Q4;200.35;202.14;200.2;201.6;86;0.62;3.32;5.87;6.9;Alta;0.4;2;Volume Alto;100
2021-11-12 11:45:00;2021-Q4;202.38;203.16;200.98;203.16;29;0.39;2.53;7.94;4.5;Neutro;0.49;2;Amplitude Alta;100
2022-01-28 12:00:00;2022-Q1;226.23;226.23;224.87;224.87;17;-0.6;-4.42;5.97;5.1;Baixa;0.4;2;Volume Alto;100
2022-02-07 10:35:00;2022-Q1;227.83;229.23;227.83;229.15;62;0.58;5.29;7.1;7.9;Alta;0.4;3;Volume Alto;100
