Time	Open	High	Low	Close	Volume
2021.08.18 12:00:00	177.82	177.82	176.79	177.51	14
2021.08.18 11:00:00	177.11	177.9	176.23	177.9	60
2021.08.18 10:00:00	177.39	177.74	176.87	177.11	29
2021.08.18 09:00:00	177.11	177.78	177.03	177.11	30
2021.08.17 16:00:00	176.19	176.19	176.15	176.15	1
2021.08.17 14:00:00	176.43	177.03	175.51	176.11	49
2021.08.17 13:00:00	177.94	177.94	175.95	176.39	75
2021.08.17 12:00:00	177.55	178.46	177.07	177.9	28
2021.08.17 11:00:00	178.66	179.42	177.07	177.63	57
2021.08.17 10:00:00	180.38	181.1	178.34	178.34	48
2021.08.17 09:00:00	178.06	180.3	177.47	180.3	164
2021.08.16 16:00:00	180.7	180.74	179.94	180.54	5
2021.08.16 15:00:00	180.58	180.62	180.3	180.62	3
2021.08.16 14:00:00	180.7	181.22	180.3	180.66	29
2021.08.16 13:00:00	181.49	181.89	180.74	180.74	48
2021.08.16 12:00:00	181.02	181.53	180.3	181.49	26
2021.08.16 11:00:00	180.7	181.89	178.82	181.81	73
2021.08.16 10:00:00	182.13	182.69	180.1	181.02	53
2021.08.16 09:00:00	182.73	186.16	182.01	182.69	107
2021.08.13 16:00:00	180.26	180.3	180.26	180.3	4
2021.08.13 15:00:00	181.22	181.22	179.9	179.94	15
2021.08.13 14:00:00	181.85	182.13	181.1	181.26	39
2021.08.13 13:00:00	180.7	181.85	180.54	181.81	46
2021.08.13 12:00:00	183.37	183.81	180.3	180.74	156
2021.08.13 11:00:00	184.29	184.49	182.25	183.37	68
2021.08.13 10:00:00	184.85	184.92	184.01	184.69	62
2021.08.13 09:00:00	185.08	186.0	184.41	184.88	91
2021.08.12 16:00:00	184.29	184.69	183.77	183.77	5
2021.08.12 15:00:00	185.12	185.12	184.69	184.69	3
2021.08.12 14:00:00	186.16	186.16	184.69	185.08	94
2021.08.12 13:00:00	185.0	186.08	184.96	186.08	56
2021.08.12 12:00:00	184.25	185.0	184.21	185.0	29
2021.08.12 11:00:00	184.29	185.24	183.33	184.13	50
2021.08.12 10:00:00	183.29	184.85	183.09	184.29	51
2021.08.12 09:00:00	183.61	183.61	181.53	183.33	144
2021.08.11 16:00:00	184.33	185.48	184.33	185.08	6
2021.08.11 15:00:00	185.08	185.08	184.05	184.05	7
2021.08.11 14:00:00	182.29	185.88	182.17	185.08	84
2021.08.11 13:00:00	181.33	182.49	181.26	181.89	49
2021.08.11 12:00:00	179.38	181.1	179.1	181.1	30
2021.08.11 11:00:00	178.7	179.7	178.38	179.54	26
2021.08.11 10:00:00	179.3	179.38	178.38	179.1	61
2021.08.11 09:00:00	181.02	181.02	179.46	179.46	94
2021.08.10 16:00:00	179.5	180.18	179.5	179.7	6
2021.08.10 15:00:00	179.18	179.5	179.18	179.26	3
2021.08.10 14:00:00	179.5	179.86	179.1	179.82	66
2021.08.10 13:00:00	180.06	180.62	179.34	179.5	48
2021.08.10 12:00:00	178.26	179.62	177.94	179.54	41
2021.08.10 11:00:00	178.18	178.58	177.82	178.18	17
