Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Score_Confianca
2021-02-04 12:40:00;2021-Q1;120.7;120.7;119.59;119.59;4;-0.92;-7.03;13.65;1.2;Baixa;100
2021-02-04 14:20:00;2021-Q1;120.79;121.3;120.79;121.05;22;0.22;2.41;6.8;5.2;Neutro;100
2025-03-26 11:00:00;2025-Q1;439.22;439.22;436.1;436.61;24;-0.59;-4.01;7.0;4.7;Neutro;100
2021-10-14 11:20:00;2021-Q4;199.8;199.8;198.25;198.25;27;-0.78;-3.72;4.94;7.1;Neutro;100
2024-07-25 13:15:00;2024-Q3;248.4;250.57;248.4;250.57;37;0.87;5.8;8.89;7.9;Alta;100
2025-04-07 11:15:00;2025-Q2;399.25;404.97;399.25;403.09;34;0.96;3.99;6.96;3.5;Alta;100
2023-02-07 15:15:00;2023-Q1;177.28;177.62;176.28;176.28;12;-0.56;-4.24;7.22;2.5;Neutro;100
2024-01-05 12:00:00;2024-Q1;181.1;182.47;181.1;181.99;28;0.49;3.14;6.35;5.7;Neutro;100
2022-01-24 12:15:00;2022-Q1;223.43;223.7;222.34;222.62;28;-0.36;-3.23;7.26;3.8;Neutro;100
2023-08-18 10:35:00;2023-Q3;146.88;148.04;146.88;148.04;21;0.79;4.91;6.68;3.5;Neutro;100
2024-01-12 13:10:00;2024-Q1;180.05;180.05;178.4;178.4;51;-0.92;-5.21;6.94;5.8;Baixa;100
2023-01-25 13:25:00;2023-Q1;159.41;161.01;159.41;160.49;33;0.68;4.08;6.19;4.4;Neutro;100
2022-09-02 09:40:00;2022-Q3;211.27;211.31;209.78;209.78;17;-0.71;-4.99;7.74;2.0;Neutro;100
2021-10-18 12:50:00;2021-Q4;192.62;192.66;190.91;190.91;17;-0.89;-5.09;6.56;4.0;Baixa;100
2024-10-01 10:55:00;2024-Q4;274.05;274.05;272.15;272.15;55;-0.69;-3.75;4.99;5.6;Neutro;100
2023-11-06 14:20:00;2023-Q4;166.37;167.58;166.37;167.58;28;0.73;3.91;7.09;4.6;Neutro;100
2023-08-25 09:50:00;2023-Q3;150.18;150.18;148.16;148.65;33;-1.02;-6.01;11.54;5.9;Baixa;100
2022-08-30 10:35:00;2022-Q3;215.71;215.71;214.33;214.33;23;-0.64;-4.2;6.36;3.8;Neutro;100
2024-01-08 15:55:00;2024-Q1;181.42;182.8;181.42;182.8;29;0.76;4.33;6.0;4.0;Neutro;100
2023-02-01 10:25:00;2023-Q1;180.01;180.01;176.31;176.54;65;-1.93;-6.39;9.54;5.9;Baixa;100
2021-04-22 13:15:00;2021-Q2;129.78;130.81;129.7;130.76;55;0.76;3.9;4.37;8.3;Neutro;100
2022-05-03 10:35:00;2022-Q2;207.35;209.04;207.35;208.77;37;0.68;4.35;7.2;4.8;Neutro;100
2021-11-05 09:40:00;2021-Q4;195.49;195.49;193.04;193.23;19;-1.16;-6.1;12.78;3.6;Baixa;100
2021-11-05 09:45:00;2021-Q4;192.88;194.63;192.76;194.28;12;0.73;5.22;10.86;2.5;Neutro;100
2021-11-05 09:55:00;2021-Q4;194.48;194.48;193.08;193.08;22;-0.72;-5.57;9.37;4.3;Neutro;100
2023-10-02 11:55:00;2023-Q4;146.96;148.61;146.96;148.21;42;0.85;5.17;10.83;5.5;Alta;100
2021-01-06 11:20:00;2021-Q1;119.04;119.12;118.4;118.87;27;-0.14;-1.38;7.81;5.1;Neutro;100
2021-11-09 14:00:00;2021-Q4;192.57;193.74;192.26;193.62;29;0.55;3.45;6.61;6.6;Neutro;100
2024-12-09 10:00:00;2024-Q4;364.57;364.57;357.73;358.39;27;-1.7;-5.56;8.27;4.4;Baixa;100
2021-06-08 13:00:00;2021-Q2;157.96;157.96;156.69;156.69;24;-0.8;-4.95;6.5;6.3;Baixa;100
2025-12-08 12:05:00;2025-Q4;458.1;458.1;454.1;454.8;44;-0.72;-4.64;8.14;6.1;Neutro;100
2024-02-27 13:30:00;2024-Q1;188.02;190.45;188.02;188.92;31;0.48;2.76;10.84;2.3;Neutro;100
2024-02-27 15:55:00;2024-Q1;189.34;190.62;189.34;190.62;31;0.68;4.33;6.88;4.7;Neutro;100
2024-02-28 10:20:00;2024-Q1;188.83;190.28;188.83;189.72;11;0.47;3.63;8.6;2.7;Neutro;100
